index,algorithm,time,cpu,matrix_size
670,Homemade,0.0008401870727539062,,17
671,Numpy,0.04378104209899902,,17
672,Homemade,0.051542043685913086,,69
673,Numpy,0.01697707176208496,,69
674,Homemade,0.0988321304321289,,73
675,Numpy,0.057134151458740234,,73
676,Homemade,0.00391840934753418,,29
677,Numpy,0.00011467933654785156,,29
678,Homemade,0.141556978225708,,92
679,Numpy,0.01593303680419922,,92
680,Homemade,0.1564466953277588,,94
681,Numpy,0.0030946731567382812,,94
682,Homemade,0.029432058334350586,,52
683,Numpy,0.00020241737365722656,,52
684,Homemade,0.002588033676147461,,25
685,Numpy,0.003247499465942383,,25
686,Homemade,0.006785392761230469,,35
687,Numpy,0.00011610984802246094,,35
688,Homemade,0.11840486526489258,,88
689,Numpy,0.007203817367553711,,88
690,Homemade,0.005927324295043945,,32
691,Numpy,0.017889022827148438,,32
692,Homemade,0.10702157020568848,,83
693,Numpy,0.00025653839111328125,,83
694,Homemade,0.06538677215576172,,75
695,Numpy,0.029914379119873047,,75
696,Homemade,0.10007762908935547,,87
697,Numpy,0.012394428253173828,,87
698,Homemade,0.07383871078491211,,63
699,Numpy,0.0035581588745117188,,63
700,Homemade,0.0075740814208984375,,36
701,Numpy,0.01403951644897461,,36
702,Homemade,0.10698056221008301,,85
703,Numpy,0.00038313865661621094,,85
704,Homemade,0.0001621246337890625,,9
705,Numpy,5.245208740234375e-05,,9
